Outcome,Strength_A,Strength_B,Strength_C,Best,Ranking,P_C_beats_A,P_C_beats_B,P_B_beats_A
AI Follow Rate,0.5368,0.9735,1.9137,CC,CC > CB > CA,0.781,0.663,0.645
Calibration Score,1.1449,0.9836,0.888,CA,CA > CB > CC,0.437,0.474,0.462
AI Errors Caught,0.5185,0.95,2.0303,CC,CC > CB > CA,0.797,0.681,0.647
Appeal Intent,0.3871,0.9232,2.7978,CC,CC > CB > CA,0.878,0.752,0.705
Perceived Fairness,0.4836,0.8603,2.4038,CC,CC > CB > CA,0.833,0.736,0.64
Trust in Automation,0.5582,0.9697,1.8474,CC,CC > CB > CA,0.768,0.656,0.635
Mental Model,0.9184,1.0414,1.0456,CC,CC > CB > CA,0.532,0.501,0.531
