Predictor,Outcome,r,p,sig
Fin. Literacy,Calibration,0.029,0.465,ns
Fin. Literacy,Follow Rate,-0.128,0.001,**
Fin. Literacy,Errors Caught,0.132,<.001,***
Fin. Literacy,Trust/Auto,-0.161,<.001,***
NFC,Calibration,-0.032,0.429,ns
NFC,Follow Rate,-0.156,<.001,***
NFC,Errors Caught,0.097,0.015,*
NFC,Trust/Auto,0.034,0.388,ns
Tech Disp.,Calibration,-0.013,0.746,ns
Tech Disp.,Follow Rate,0.017,0.673,ns
Tech Disp.,Errors Caught,-0.029,0.462,ns
Tech Disp.,Trust/Auto,0.166,<.001,***
